epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5888,1.38754,4.45489,2.46493,1.59517,0.07102,0.37848,0.09588,0.04989,0.0485,0.27565,0.04368,0.01388,1.80866,4.46481,2.79637,1.81142,0.081095,9.5e-05,9.5e-05
2,31.1944,1.04072,3.07461,1.35936,1.24795,0.26903,0.25599,0.23967,0.15401,0.21983,0.18903,0.17763,0.08748,1.27221,3.61606,2.39577,1.35391,0.0611949,0.000194867,0.000194867
3,44.7717,1.0133,2.84232,1.09936,1.21917,0.69912,0.47887,0.56808,0.38853,0.64284,0.4316,0.46387,0.23704,1.10509,2.93409,1.81764,1.22564,0.0412942,0.000294193,0.000294193
4,57.6129,0.94988,2.55078,0.98024,1.17306,0.74869,0.59402,0.67396,0.48631,0.70156,0.54591,0.56612,0.29779,1.02218,2.58766,1.36552,1.17458,0.0213926,0.000392571,0.000392571
5,70.9304,0.94201,2.52122,0.94275,1.15819,0.77715,0.66597,0.75082,0.56348,0.73246,0.59538,0.6279,0.35024,0.94522,2.24427,1.04118,1.12065,0.0014896,0.000489597,0.000489597
6,83.942,0.91291,2.47061,0.89048,1.12788,0.76085,0.70555,0.76533,0.5728,0.727,0.61499,0.6415,0.3595,0.93512,2.17527,0.90279,1.10913,0.00049149,0.00049149,0.00049149
7,97.6308,0.8887,2.39566,0.85727,1.11636,0.78905,0.72327,0.80098,0.61305,0.73425,0.65241,0.68477,0.39721,0.88007,2.01045,0.7812,1.0707,0.000487776,0.000487776,0.000487776
8,111.042,0.89286,2.35489,0.84687,1.12139,0.80569,0.73148,0.8105,0.62769,0.74918,0.67056,0.68976,0.40408,0.86193,1.94052,0.75885,1.06044,0.000483412,0.000483412,0.000483412
9,124.29,0.86984,2.3032,0.81916,1.10266,0.81781,0.72629,0.81075,0.62849,0.76382,0.65883,0.68811,0.39991,0.85806,1.94688,0.74391,1.05374,0.000478408,0.000478408,0.000478408
10,136.255,0.85445,2.20423,0.80289,1.08691,0.80467,0.74934,0.82157,0.63717,0.77317,0.67099,0.705,0.40787,0.84681,1.90082,0.72405,1.04839,0.000472779,0.000472779,0.000472779
11,149.546,0.8478,2.19631,0.78757,1.09005,0.80378,0.75826,0.82941,0.64713,0.77489,0.67523,0.71283,0.41386,0.84164,1.85414,0.70736,1.04706,0.00046654,0.00046654,0.00046654
12,162.665,0.83034,2.13111,0.76822,1.07763,0.82417,0.7463,0.83132,0.65291,0.76362,0.6881,0.71356,0.41844,0.83661,1.82829,0.69544,1.03844,0.000459708,0.000459708,0.000459708
13,176.13,0.82996,2.1491,0.75667,1.08729,0.81506,0.7607,0.83169,0.64918,0.7488,0.69886,0.71179,0.42573,0.84945,1.81738,0.6937,1.03762,0.000452302,0.000452302,0.000452302
14,189.2,0.83315,2.11835,0.7513,1.07472,0.81188,0.76993,0.8387,0.66226,0.756,0.70469,0.72137,0.431,0.81941,1.77987,0.668,1.0263,0.000444342,0.000444342,0.000444342
15,202.376,0.80856,2.04946,0.74367,1.06827,0.81574,0.77086,0.84181,0.66163,0.76772,0.71484,0.73869,0.43821,0.83233,1.77745,0.67246,1.0297,0.00043585,0.00043585,0.00043585
16,215.435,0.81166,2.08205,0.74044,1.06467,0.82862,0.75833,0.84513,0.66777,0.7794,0.70836,0.7444,0.43817,0.83067,1.77233,0.666,1.02367,0.00042685,0.00042685,0.00042685
17,228.824,0.81673,2.05445,0.73695,1.06042,0.83298,0.76302,0.85147,0.68169,0.78424,0.70534,0.73748,0.43756,0.78871,1.7238,0.65168,1.00968,0.000417365,0.000417365,0.000417365
